"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"var_capital";"var_acoes";"link";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"185";"PE";"EMPRESA DE TURISMO DE PERNAMBUCO GOVERNADOR EDUARDO CAMPOS - EMPETUR";"ATIVA";"TURISMO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";210174707,13;-6752486,8;"SIM";"SIM";"NÃO";372372;"Não";527;73440,95;24495217,07;0;62645295,63;82461364,96;0;0;72065680,99;0;0;"http://www,setur,pe,gov,br/c/document_library/get_file?p_l_id=44898563&folderId=44901001&name=DLFE-516204,pdf";"Pernambuco";"Nordeste";FALSE;FALSE;-62645295,63
"186";"PE";"EMPRESA PERNAMBUCO DE COMUNICAÇÃO S/A - EPC";"ATIVA";"COMUNICAÇÃO";"EMPRESA PÚBLICA";"Dependente";5635405;-797873,94;"SIM";"SIM";"NÃO";126908,31;"Não";83;0;2952698,5;0;3120616,56;2675380,5;0;0;3488600;0;0;"https://portalepc,com,br/wp-content/uploads/2022/04/Carta-Anual-de-Pol%C3%ADticas-P%C3%BAblicas-e-Governan%C3%A7a-Corporativa-2021,pdf";"Pernambuco";"Nordeste";FALSE;FALSE;-3120616,56
"187";"PE";"EMPRESA PERNAMBUCANA DE TRANSPORTE COLETIVO INTERMUNICIPAL - EPTI";"ATIVA";"TRANSPORTE";"EMPRESA PÚBLICA";"Dependente";4755171,27;1272052;"SIM";"SIM";"NÃO";106308,01;"Não";28;272043,58;2346298;0;2094362;2435520;0;0;0;0;0;"https://www,epti,pe,gov,br/carta-anual-de-politicas-publicas-e-governanca-corporativa/";"Pernambuco";"Nordeste";FALSE;FALSE;-2094362
"188";"PE";"INSTITUTO AGRONÔMICO DE PERNAMBUCO - IPA";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";32165788;-2374982;"SIM";"SIM";"NÃO";195865,93;"Não";1196;6876378,15;74283525,23;0;105281370,95;95257616,53;0;0;25601618;0;0;"https://site,ipa,br/transparencia/";"Pernambuco";"Nordeste";FALSE;FALSE;-105281370,95
"189";"PE";"LABORATÓRIO FARMACÊUTICO DO ESTADO DE PE GOV. MIGUEL ARRAES S/A - LAFEPE";"ATIVA";"SAÚDE";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";204912379;40980847;"SIM";"SIM";"SIM";281766,92;"Sim";647;7806289;41059627,11;1,5e+07;0;0;0;0;87989242;0;0;"https://www,lafepe,pe,gov,br/wp-content/uploads/2022/04/CARTA-ANUAL-DE-POLITICAS-PUBLICAS-E-GOVERNANCA-CORPORATIVA-EXERCICIO-2021_FINALIZADO,pdf";"Pernambuco";"Nordeste";TRUE;FALSE;1,5e+07
"190";"PE";"PERNAMBUCO PARTICIPAÇÕES E INVESTIMENTOS S.A. - PERPART";"ATIVA";"GESTÃO DE ATIVOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-286828822,58;5495691,59;"SIM";"SIM";"NÃO";193091,63;"Não";331;4719,5;71296576,39;0;94112676,55;87813815,56;4486929,69;6594960,28;434913326,38;6594960,27999997;6595;"https://www,perpart,pe,gov,br/wp-content/uploads/2022/04/Carta-Anual-de-Politicas-Publicas-e-Governanca-Corporat-iva-Perpart-2022,pdf";"Pernambuco";"Nordeste";FALSE;FALSE;-98599606,24
"191";"PE";"PORTO DO RECIFE S/A";"ATIVA";"PORTOS E HIDROVIAS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";9170819,33;-19855930,66;"SIM";"SIM";"NÃO";259544,69;"Não";193;135757,52;15564145,87;0;0;0;4500000;13491300;201362946;13491300;13491300;"https://www,portodorecife,pe,gov,br/images/galeria/paginas/zljb-2021__carta_anual_de_politicas_publicas_e_governanca_corpotativa,pdf";"Pernambuco";"Nordeste";FALSE;FALSE;-4500000
"192";"PE";"SUAPE - COMPLEXO INDUSTRIAL PORTUARIO GOVERNADOR ERALDO GUEIROS";"ATIVA";"PORTOS E HIDROVIAS";"EMPRESA PÚBLICA";"Não Dependente";3240525413,74;64808508,57;"SIM";"SIM";"SIM";467032,9;"Sim";638;71218903,58;68318024,43;0;0;0;2531704,05;2324673,42;1583078289,42;2531704,05000019;2531704;"https://www,suape,pe,gov,br/images/institucional/lei-13303/Carta-Anual-de-Politicas-Publicas-_Compromissos_-e-Governanca-Coporativa_1_1,pdf";"Pernambuco";"Nordeste";TRUE;FALSE;-2531704,05
"193";"PI";"Agência de Fomento e Desenvolvimento do Estado do Piauí S.A - PIAUÍ FOMENTO";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";32083866,31;-1314979,23;"SIM";"SIM";"SIM";151150;"Não";20;30155000;1342110,7;0;0;0;15803160;10002000;40807560;15803160;1580000;"http://www,fomento,pi,gov,br/cartaanual/";"Piauí";"Nordeste";TRUE;FALSE;-15803160
"194";"PI";"ÁGUAS E ESGOTOS DO PIAUÍ SA";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-1068937017,25;-143908859,35;"SIM";"SIM";"SIM";447473,04;"Não";1038;15064000,37;238192840,05;0;107361110;17993666;34408805;34408805;621910776;0;1318978;"nan";"Piauí";"Nordeste";TRUE;FALSE;-141769915
"195";"PI";"COMPANHIA DE TERMINAIS ALFANDEGADOS DO PIAUI - PORTO-PI";"ATIVA";"PORTOS E HIDROVIAS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";671458,5;-1366464,65;"SIM";"SIM";"SIM";117000;"Não";14;0;1029653,45;0;1500000;0;0;0;97500;97500;0;"nan";"Piauí";"Nordeste";TRUE;FALSE;-1500000
"196";"PI";"COMPANHIA METROPOLITANA DE TRANSPORTE PÚBLICO";"ATIVA";"TRANSPORTE";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";1697336,84;1330593,53;"SIM";"SIM";"NÃO";168400;"Não";71;157560;4478895,47;0;6825000;6108000;0;0;0;0;0;"nan";"Piauí";"Nordeste";FALSE;FALSE;-6825000
"197";"PI";"EMPRESA DE GESTÃO DE RECURSOS DO ESTADO DO PIAUÍ S/A.";"ATIVA";"GESTÃO DE ATIVOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";81369595,63;5591278,26;"SIM";"SIM";"NÃO";445178,56;"Não";635;0;71465643,26;0;105142762,17;95932389,64;0;0;125885754,92;0;0;"nan";"Piauí";"Nordeste";FALSE;FALSE;-105142762,17
"198";"PI";"COMPANHIA ADMINISTRADORA DA ZONA DE PROCESSAMENTO DE EXPORTAÇÃO DE PARNAÍBA-PI S/A";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";9714109,39;-4686649,51;"SIM";"SIM";"NÃO";151666,67;"Não";43;9873903,72;2878880,68;0;0;0;4161529,72;3093241,24;20770626,71;4161529,72;0;"nan";"Piauí";"Nordeste";FALSE;FALSE;-4161529,72
"199";"PI";"COMPANHIA DE GÁS DO PIAUI - GASPISA";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";42262,73;-7755,33;"SIM";"SIM";"NÃO";80000;"Não";5;13119,9;533137,75;0;0;0;191250;191250;3124432;191250;822913,8;"nan";"Piauí";"Nordeste";FALSE;FALSE;-191250
"200";"RN";"COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";2337242219,83;58032974,94;"SIM";"SIM";"SIM";480875,81;"Sim";2064;131489129,9;262346889,37;11581915,7;0;0;0;0;1396762510,4;0;0;"https://caern,com,br/#/carta-de-servicos";"Rio Grande do Norte";"Nordeste";TRUE;FALSE;11581915,7
"201";"RN";"CEHAB - COMPANHIA ESTADUAL DE HABITACAO E DESENVOLVIMENTO URBANO";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";14901976;-2145103,57;"SIM";"SIM";"NÃO";99139,69;"Não";28;1355089,62;1864681,7;0;0;0;0;0;0;0;0;"nan";"Rio Grande do Norte";"Nordeste";FALSE;FALSE;0
"202";"RN";"AGENCIA DE FOMENTO DO RIO GRANDE DO NORTE S/A";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";52998071;2081948;"SIM";"SIM";"NÃO";63529;"Não";50;53809;8125525;0;0;0;0;0;49142782;0;0;"http://www,adcon,rn,gov,br/ACERVO/agn/DOC/DOC000000000270820,PDF";"Rio Grande do Norte";"Nordeste";FALSE;FALSE;0
"203";"RN";"COMPANHIA POTIGUAR DE GÁS";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";79947678,65;15857565,39;"SIM";"SIM";"SIM";389965,33;"Sim";62;7769994,02;14998354,72;7873056,97;0;0;0;0;57012127,88;1556573,62;0;"nan";"Rio Grande do Norte";"Nordeste";TRUE;FALSE;7873056,97
